subject,attn,block,object,occluder,rep,x,y
F122,off,20,bear,lower,2,770.599975585938,602.599975585938
F122,off,20,bear,lower,3,780.599975585938,603
F122,off,20,bear,lower,4,797.099975585938,603.200012207031
F122,off,20,bear,lower,5,794.5,610.900024414062
F122,off,20,bear,lower,6,796.900024414062,619.299987792969
F122,off,20,bear,lower,7,793.200012207031,611.099975585938
F122,off,20,bear,lower,8,795.400024414062,609.5
F122,off,21,sportsCar,lower,1,779.099975585938,611.900024414062
F122,off,21,sportsCar,lower,2,786.700012207031,614.299987792969
F122,off,21,sportsCar,lower,3,789.900024414062,599.5
F122,off,21,sportsCar,lower,4,788.799987792969,607.700012207031
F122,off,21,sportsCar,lower,5,783.700012207031,613.799987792969
F122,off,21,sportsCar,lower,6,780.099975585938,607.099975585938
F122,off,21,sportsCar,lower,7,778.400024414062,598.700012207031
F122,off,21,sportsCar,lower,8,779.700012207031,600.400024414062
F122,off,22,jeep,lower,1,785.700012207031,618.400024414062
F122,off,22,jeep,lower,2,792.299987792969,613.599975585938
F122,off,22,jeep,lower,3,797.299987792969,607.400024414062
F122,off,22,jeep,lower,4,801.799987792969,612.299987792969
F122,off,22,jeep,lower,5,803.099975585938,612
F122,off,22,jeep,lower,6,794.900024414062,613.5
F122,off,22,jeep,lower,7,789.900024414062,607.599975585938
F122,off,22,jeep,lower,8,779.700012207031,606.099975585938
F122,off,23,jeep,complete,1,792.599975585938,602.099975585938
F122,off,23,jeep,complete,2,801.599975585938,601.700012207031
F122,off,23,jeep,complete,3,806.099975585938,601.299987792969
F122,off,23,jeep,complete,4,803.799987792969,607.5
F122,off,23,jeep,complete,5,802.299987792969,605.5
F122,off,23,jeep,complete,6,803.400024414062,601.799987792969
F122,off,23,jeep,complete,7,800.200012207031,600.099975585938
F122,off,23,jeep,complete,8,799.599975585938,602.5
F122,off,24,hare,complete,1,789.599975585938,610.5
F122,off,24,hare,complete,2,789.900024414062,608.700012207031
F122,off,24,hare,complete,3,790.700012207031,600.099975585938
F122,off,24,hare,complete,4,798.599975585938,603.700012207031
F122,off,24,hare,complete,5,810.5,597.299987792969
F122,off,24,hare,complete,6,807.299987792969,604.400024414062
