analysis,level,similarity,sem,rf_size,vis_ang,fix_std,num_units
occlusion_invariance,EdU1,-0.14614647454861096,0.013679103249356919,1.48,1.6441655512021094,0.5,103132
object_completion,EsOs,0.6153753924389267,0.04674679805768826,2.22,0.9970737470655973,0.5,103764
object_completion,EsOd,0.5058829794781241,0.04920594944719642,2.22,0.9970737470655973,0.5,103764
object_completion,EdOs,-0.019669314381594916,0.020936307368961897,2.22,0.9970737470655973,0.5,103764
object_completion,EdOd,-0.07893911857140416,0.019663203995608804,2.22,0.9970737470655973,0.5,103764
object_completion,EsUb,,,2.22,0.9970737470655973,0.5,103764
object_completion,EsU1,,,2.22,0.9970737470655973,0.5,103764
object_completion,EdUb,,,2.22,0.9970737470655973,0.5,103764
object_completion,EdU1,,,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EsOs,,,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EsOd,,,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EdOs,,,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EdOd,,,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EsUb,0.7314316444925623,0.03933173600062553,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EsU1,0.5848796994962205,0.051073142186355905,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EdUb,-0.06846366353281905,0.015317873056875715,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,EdU1,-0.1063727984707537,0.015424778576209964,2.22,0.9970737470655973,0.5,103764
object_completion,EsOs,0.6707867390380917,0.04462556136542715,0.74,3.866184880135131,0.75,96619
object_completion,EsOd,0.3724182840907524,0.05139914445243911,0.74,3.866184880135131,0.75,96619
object_completion,EdOs,0.09739341949253683,0.02266581241427637,0.74,3.866184880135131,0.75,96619
object_completion,EdOd,-0.13719401649650714,0.018090436609613837,0.74,3.866184880135131,0.75,96619
object_completion,EsUb,,,0.74,3.866184880135131,0.75,96619
object_completion,EsU1,,,0.74,3.866184880135131,0.75,96619
object_completion,EdUb,,,0.74,3.866184880135131,0.75,96619
object_completion,EdU1,,,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EsOs,,,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EsOd,,,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EdOs,,,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EdOd,,,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EsUb,0.7788464213237266,0.031963859925658956,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EsU1,0.48646631336342205,0.06540559338613715,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EdUb,0.0045620421205664185,0.022037070462961206,0.74,3.866184880135131,0.75,96619
occlusion_invariance,EdU1,-0.13895852427776453,0.013499335269665295,0.74,3.866184880135131,0.75,96619
object_completion,EsOs,0.651793257661323,0.044744920119704774,1.11,2.3445762152517156,0.75,102565
object_completion,EsOd,0.44205148102674774,0.04896879350391588,1.11,2.3445762152517156,0.75,102565
object_completion,EdOs,0.0586114776392993,0.020803798246206727,1.11,2.3445762152517156,0.75,102565
object_completion,EdOd,-0.09430178248026422,0.017630742898326963,1.11,2.3445762152517156,0.75,102565
object_completion,EsUb,,,1.11,2.3445762152517156,0.75,102565
object_completion,EsU1,,,1.11,2.3445762152517156,0.75,102565
object_completion,EdUb,,,1.11,2.3445762152517156,0.75,102565
object_completion,EdU1,,,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EsOs,,,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EsOd,,,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EdOs,,,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EdOd,,,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EsUb,0.7665377153909532,0.03196119945331208,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EsU1,0.488374874186335,0.06549783073128616,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EdUb,0.006729886718570435,0.02346143725598208,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,EdU1,-0.14297060069503328,0.014383902941542384,1.11,2.3445762152517156,0.75,102565
object_completion,EsOs,0.6334848110605689,0.04574413062253605,1.48,1.6441655512021094,0.75,103500
object_completion,EsOd,0.4860650645345999,0.04747480445247519,1.48,1.6441655512021094,0.75,103500
object_completion,EdOs,0.03054329674579425,0.020478451558921116,1.48,1.6441655512021094,0.75,103500
object_completion,EdOd,-0.0657746919186902,0.018331919551431146,1.48,1.6441655512021094,0.75,103500
object_completion,EsUb,,,1.48,1.6441655512021094,0.75,103500
